request_index,url,status_code,success,error_message,api_request_response_ms,backend_latency_ms,timingMs.total_backend,timingMs.feature_extraction,timingMs.brand_analysis,timingMs.histgb_inference,timingMs.url_transformer_inference,timingMs.decision_fusion
82,https://obs.ktun.edu.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""af95f0b2-701b-4687-b559-169f311bf09c""}",2.9146,,,,,,,
83,https://turkiye.gov.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""317e5b41-75d8-4da7-b26d-a945b9cbd9a7""}",3.5228,,,,,,,
84,https://enabiz.gov.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""f809390b-5275-45f4-8392-83c0a0045956""}",21.1357,,,,,,,
85,https://mhrs.gov.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""15d3e29c-d446-433f-aabf-96a603bdb71b""}",3.2781,,,,,,,
86,https://ziraatbank.com.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""8b1bbd01-0e3e-4fb4-b734-7583781ded46""}",2.7308,,,,,,,
87,https://garanti.com.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""f1b1dbcc-9eb5-47dd-bb87-b4c7e5859888""}",2.4228,,,,,,,
88,https://trendyol.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""47e7eb8b-2b36-4a71-bb8b-d93780200c6c""}",11.2012,,,,,,,
89,https://kkktun.edu.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""eda5977e-2b2c-4b64-bf06-b8d2e2a9927d""}",3.1105,,,,,,,
90,https://ktun-login.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""75703c5d-4356-4a37-85f2-09c4a0e0472c""}",12.5444,,,,,,,
91,https://login-ziraat-bankasi-guvenli.com/login,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""a0c50f47-a514-422d-8d3b-adac8ca65b4f""}",1.9321,,,,,,,
92,https://garanti-guvenli.com/login,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""769b5bcb-805d-4549-9c7f-aad0ceac73ab""}",1.7834,,,,,,,
93,https://turkiye-gov-tr.com/basvuru,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""f282c67b-d525-41f3-a318-bdcf1d45e6d0""}",2.1579,,,,,,,
94,https://edevlet-basvuru.net/login,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""6bfc6ec4-f055-4e44-a6e7-be1a47a4bc29""}",1.935,,,,,,,
95,https://enabiz-sonuc.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""89762cfd-0184-4fc3-bbcf-14783610d05b""}",1.6356,,,,,,,
96,https://mhrs-randevu.org,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""c3716246-a878-4f5e-89d2-e37f88483e43""}",1.7969,,,,,,,
97,https://ptt-kargo-takip.net,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""3ed58a8c-fc9b-4067-9e5f-0ca5eba0fa40""}",2.7415,,,,,,,
98,https://trendyol-iade-formu.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""bea66b73-11e7-46c6-bc24-10eff71f89e1""}",2.4114,,,,,,,
99,https://vakifbank-dogrulama.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""8429365c-bdc1-415c-bac0-b384e6ddc677""}",3.1398,,,,,,,
100,https://webtapu-randevu.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""7b720b2f-2289-454d-b0f5-8147a4954357""}",2.5101,,,,,,,
